#c1[0,0,1],c2[0,0,0],c3[0,0,0],pos[0,0,1],result=0
#simple only one obstacle
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5

0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0

0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0

1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0

0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0

0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.5
#two osbtacles
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0

0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0

0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.5
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.5

1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.5
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0

0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.5
0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0

0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5
#three obstacles
0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.5
0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1

1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.5
0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5

0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0.5
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0.5
0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1
# failed maps
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5
0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0

1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.5
0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1

1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0.5
0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0.5

1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.5
0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0.5
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1

0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0.5
1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0
